            Zeit	 pressure_Vacuum
               s	            mbar
     2045.095000	      955.924805
     2045.100000	      956.168823
     2045.105000	      956.130493
     2045.110000	      956.091797
     2045.115000	      955.898315
     2045.120000	      956.019897
     2045.125000	      956.183105
     2045.130000	      955.947815
     2045.135000	      956.144043
     2045.140000	      956.291260
     2045.145000	      956.085938
     2045.150000	      955.955811
     2045.155000	      956.250488
     2045.160000	      956.583862
     2045.165000	      956.059998
     2045.170000	      956.115540
     2045.175000	      956.246338
     2045.180000	      955.792908
     2045.185000	      956.044617
     2045.190000	      956.125183
     2045.195000	      956.207886
     2045.200000	      955.921265
     2045.205000	      955.564575
     2045.210000	      955.816650
     2045.215000	      955.956970
     2045.220000	      955.822510
     2045.225000	      955.577820
     2045.230000	      955.667969
     2045.235000	      955.766235
     2045.240000	      955.881409
     2045.245000	      955.793823
     2045.250000	      955.520020
     2045.255000	      955.753723
     2045.260000	      955.656799
     2045.265000	      955.461609
     2045.270000	      955.640381
     2045.275000	      955.669678
     2045.280000	      955.564575
     2045.285000	      955.554016
     2045.290000	      955.541748
     2045.295000	      955.447693
     2045.300000	      955.379150
     2045.305000	      955.436584
     2045.310000	      955.417847
     2045.315000	      955.478333
     2045.320000	      955.541626
     2045.325000	      955.401672
     2045.330000	      955.447937
     2045.335000	      955.440674
     2045.340000	      955.378662
     2045.345000	      955.430237
     2045.350000	      955.387756
     2045.355000	      955.512695
     2045.360000	      955.492615
     2045.365000	      955.357788
     2045.370000	      955.461243
     2045.375000	      955.408203
     2045.380000	      955.416931
     2045.385000	      955.488708
     2045.390000	      955.420837
     2045.395000	      955.469849
     2045.400000	      955.454346
     2045.405000	      955.406799
     2045.410000	      955.481812
     2045.415000	      955.460327
     2045.420000	      955.386353
     2045.425000	      955.463196
     2045.430000	      955.452881
     2045.435000	      955.415649
     2045.440000	      955.428955
     2045.445000	      955.392944
     2045.450000	      955.493164
     2045.455000	      955.560669
     2045.460000	      955.441711
     2045.465000	      955.483521
